u,v,geometry
289468565,1833706345,"LINESTRING (16.3673061 48.2013323, 16.3671847 48.2013528, 16.3661212 48.201587)"
289468565,2396698510,"LINESTRING (16.3673061 48.2013323, 16.3672903 48.2012179, 16.3672529 48.201132, 16.3672319 48.2011028, 16.3671969 48.2010542, 16.367101 48.2009423)"
33182965,33182904,"LINESTRING (16.3703259 48.2035914, 16.370205 48.2036431, 16.37005 48.2036974, 16.3697229 48.2037659, 16.3691635 48.2038922, 16.3688837 48.203939, 16.3686982 48.2039421, 16.3686183 48.2039434)"
21095351,48753792,"LINESTRING (16.3714944 48.201921, 16.371475 48.2018847, 16.3714699 48.2018752, 16.3714387 48.201817, 16.3714046 48.2017531, 16.3713813 48.2017036, 16.3712033 48.2013162, 16.3711633 48.201229)"
21095351,300321526,"LINESTRING (16.3714944 48.201921, 16.3715713 48.2019045, 16.3728714 48.2016138)"
33182904,685115,"LINESTRING (16.3686183 48.2039434, 16.3685889 48.20388, 16.3681196 48.202976, 16.3681016 48.2029414, 16.3680855 48.2029109, 16.3680679 48.202878, 16.3680637 48.2028698, 16.3680168 48.2027828, 16.3679862 48.2027215)"
48753792,48753790,"LINESTRING (16.3711633 48.201229, 16.3712396 48.2011874, 16.3713287 48.20116, 16.3724408 48.2009086, 16.3725113 48.2008923)"
300321526,199571,"LINESTRING (16.3728714 48.2016138, 16.3733774 48.2014995, 16.3734726 48.201482, 16.3735683 48.2014761, 16.3736509 48.2014816, 16.3736957 48.201488)"
48753790,300321526,"LINESTRING (16.3725113 48.2008923, 16.3727699 48.2014033, 16.372789 48.201441, 16.3728247 48.2015128, 16.3728478 48.2015664, 16.3728714 48.2016138)"
48753790,48753788,"LINESTRING (16.3725113 48.2008923, 16.373326 48.2007142)"
199571,394906,"LINESTRING (16.3736957 48.201488, 16.3737167 48.201491, 16.373951 48.2015531, 16.374209 48.2016175, 16.3742399 48.201625)"
